code,constituency,name,party,coalition
P001,Padang Besar,Rushdan Rusmi,PAS,PN
P002,Kangar,Zakri Hassan,BERSATU,PN
P003,Arau,Shahidan Kassim,PAS,PN
P004,Langkawi,Mohd Suhaimi Abdullah,BERSATU,PN
P005,Jerlun,Abd Ghani Ahmad,PAS,PN
P006,Kubang Pasu,Ku Abd Rahman Ku Ismail,BERSATU,PN
P007,Padang Terap,Nurul Amin Hamid,PAS,PN
P008,Pokok Sena,Ahmad Saad @ Yahaya,PAS,PN
P009,Alor Setar,Afnan Hamimi Taib Azamudden,PAS,PN
P010,Kuala Kedah,Ahmad Fakhruddin Fakhrurazi,PAS,PN
P011,Pendang,Awang Hashim,PAS,PN
P012,Jerai,Sabri Azit,PAS,PN
P013,Sik,Ahmad Tarmizi Sulaiman,PAS,PN
P014,Merbok,Mohd Nazri Abu Hassan,BERSATU,PN
P015,Sungai Petani,Mohammed Taufiq Johari,PKR,PH
P016,Baling,Hassan Saad Hassan Saad),PAS,PN
P017,Padang Serai,Azman Nasrudin,BERSATU,PN
P018,Kulim-Bandar Baharu,Roslan Hashim,BERSATU,PN
P019,Tumpat,Mumtaz Md Nawi,PAS,PN
P020,Pengkalan Chepa,Ahmad Marzuk Shaary,PAS,PN
P021,Kota Bharu,Takiyuddin Hassan,PAS,PN
P022,Pasir Mas,Ahmad Fadhli Shaari,PAS,PN
P023,Rantau Panjang,Siti Zailah Mohd Yusoff,PAS,PN
P024,Kubang Kerian,Tuan Ibrahim Tuan Man,PAS,PN
P025,Bachok,Mohd Syahir Che Sulaiman,PAS,PN
P026,Ketereh,Khlir Mohd Nor,BERSATU,PN
P027,Tanah Merah,Ikmal Hisham Abdul Aziz,BERSATU,PN
P028,Pasir Puteh,Nik Muhammad Zawawi Salleh,PAS,PN
P029,Machang,Wan Ahmad Fayhsal Wan Ahmad Kamal,WAWASAN,PN
P030,Jeli,Zahari Kechik,IND,
P031,Kuala Krai,Abdul Latiff Abdul Rahman,PAS,PN
P032,Gua Musang,Mohd Azizi Abu Naim,IND,
P033,Besut,Che Mohamad Zulkifly Jusoh,PAS,PN
P034,Setiu,Shaharizukirnain Abdul Kadir,PAS,PN
P035,Kuala Nerus,Alias Razak,PAS,PN
P036,Kuala Terengganu,Ahmad Amzad Hashim recontest and won on 12 August 2023,PAS,PN
P037,Marang,Abdul Hadi Awang,PAS,PN
P038,Hulu Terengganu,Rosol Wahid,BERSATU,PN
P039,Dungun,Wan Hassan Mohd Ramli,PAS,PN
P040,Kemaman,Ahmad Samsuri Mokhtar from 2 December 2023,PAS,PN
P041,Kepala Batas,Siti Mastura Muhammad,PAS,PN
P042,Tasek Gelugor,Wan Saifulruddin Wan Jan,WAWASAN,PN
P043,Bagan,Lim Guan Eng,DAP,PH
P044,Permatang Pauh,Muhammad Fawwaz Mohamad Jan,PAS,PN
P045,Bukit Mertajam,Steven Sim Chee Keong,DAP,PH
P046,Batu Kawan,Chow Kon Yeow,DAP,PH
P047,Nibong Tebal,Fadhlina Sidek,PKR,PH
P048,Bukit Bendera,Syerleena Abdul Rashid,DAP,PH
P049,Tanjong,Lim Hui Ying,DAP,PH
P050,Jelutong,Sanisvara Nethaji Rayer Rajaji Rayer,DAP,PH
P051,Bukit Gelugor,Ramkarpal Singh,DAP,PH
P052,Bayan Baru,Sim Tze Tzin,PKR,PH
P053,Balik Pulau,Muhammad Bakhtiar Wan Chik,PKR,PH
P054,Gerik,Fathul Huzir Ayob,WAWASAN,PN
P055,Lenggong,Shamsul Anuar Nasarah,UMNO,BN
P056,Larut,Hamzah Zainudin,WAWASAN,PN
P057,Parit Buntar,Mohd Misbahul Munir Masduki,PAS,PN
P058,Bagan Serai,Idris Ahmad Idris Ahmad (Perak politician)),PAS,PN
P059,Bukit Gantang,Syed Abu Hussin Hafiz Syed Abdul Fasal,IND,
P060,Taiping,Wong Kah Woh,DAP,PH
P061,Padang Rengas,Azahari Hasan,WAWASAN,PN
P062,Sungai Siput,Kesavan Subramaniam,PKR,PH
P063,Tambun,Anwar Ibrahim,PKR,PH
P064,Ipoh Timor,Howard Lee Chuan How,DAP,PH
P065,Ipoh Barat,Kulasegaran Murugeson,DAP,PH
P066,Batu Gajah,Sivakumar Varatharaju Naidu,DAP,PH
P067,Kuala Kangsar,Iskandar Dzulkarnain Abdul Khalid,IND,
P068,Beruas,Ngeh Koo Ham,DAP,PH
P069,Parit,Muhammad Ismi Mat Taib,PAS,PN
P070,Kampar,Chong Zhemin,DAP,PH
P071,Gopeng,Tan Kar Hing,PKR,PH
P072,Tapah,Saravanan Murugan,MIC,BN
P073,Pasir Salak,Jamaludin Yahya,PAS,PN
P074,Lumut,Nordin Ahmad Ismail,BERSATU,PN
P075,Bagan Datuk,Ahmad Zahid Hamidi,UMNO,BN
P076,Teluk Intan,Nga Kor Ming,DAP,PH
P077,Tanjong Malim,Chang Lih Kang,PKR,PH
P078,Cameron Highlands,Ramli Mohd Nor (Deputy Speaker),UMNO,BN
P079,Lipis,Abdul Rahman Mohamad,UMNO,BN
P080,Raub,Chow Yu Hui,DAP,PH
P081,Jerantut,Khairil Nizam Khirudin,PAS,PN
P082,Indera Mahkota,Saifuddin Abdullah,WAWASAN,PN
P083,Kuantan,Wan Razali Wan Nor,PAS,PN
P084,Paya Besar,Mohd Shahar Abdullah,UMNO,BN
P085,Pekan,Sh Mohmed Puzi Sh Ali,UMNO,BN
P086,Maran,Ismail Abdul Muttalib,PAS,PN
P087,Kuala Krau,Kamal Ashaari,PAS,PN
P088,Temerloh,Salamiah Mohd Nor,PAS,PN
P089,Bentong,Young Syefura Othman,DAP,PH
P090,Bera,Ismail Sabri Yaakob,UMNO,BN
P091,Rompin,Abdul Khalib Abdullah,BERSATU,PN
P092,Sabak Bernam,Kalam Salan,BERSATU,PN
P093,Sungai Besar,Muslimin Yahaya,BERSATU,PN
P094,Hulu Selangor,Mohd Hasnizan Harun,PAS,PN
P095,Tanjong Karang,Zulkafperi Hanapi,IND,
P096,Kuala Selangor,Dzulkefly Ahmad,AMANAH,PH
P097,Selayang,William Leong Jee Keen,PKR,PH
P098,Gombak,Amirudin Shari,PKR,PH
P099,Ampang,Rodziah Ismail,PKR,PH
P100,Pandan,Vacant since 19 May 2026,VAC,
P101,Hulu Langat,Mohd Sany Hamzan,AMANAH,PH
P102,Bangi,Syahredzan Johan,DAP,PH
P103,Puchong,Yeo Bee Yin,DAP,PH
P104,Subang,Wong Chen,PKR,PH
P105,Petaling Jaya,Lee Chean Chung,PKR,PH
P106,Damansara,Gobind Singh Deo,DAP,PH
P107,Sungai Buloh,Ramanan Ramakrishnan,PKR,PH
P108,Shah Alam,Azli Yusof,AMANAH,PH
P109,Kapar,Halimah Ali,PAS,PN
P110,Klang,Ganabatirau Veraman,DAP,PH
P111,Kota Raja,Mohamad Sabu,AMANAH,PH
P112,Kuala Langat,Ahmad Yunus Hairi,PAS,PN
P113,Sepang,Aiman Athirah Sabu,AMANAH,PH
P114,Kepong,Lim Lip Eng,DAP,PH
P115,Batu (Kuala Lumpur federal constituency),Prabakaran Parameswaran,PKR,PH
P116,Wangsa Maju,Zahir Hassan,PKR,PH
