Priority_Class,Composite_Score,Tier,Segment,Institution_Name,Contacts_Found,Has_CISO,Has_GRC,Has_CRO,CISO_Name,CyberDSA_Action,Engagement_Owner,Rationale
A - Target,70,1,Licensed Banks,Alliance Bank Malaysia Berhad,7,1,1,1,William Song (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Alliance Islamic Bank Berhad,7,1,1,1,William Song (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,AmBank (M) Berhad,7,1,1,1,Malini Kanesamoorthy (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,AmBank Islamic Berhad,7,1,1,1,Malini Kanesamoorthy (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Bank Islam Malaysia Berhad,7,1,1,1,Anthony Tai (Group Chief Information Security Offi,Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Bank of China (Malaysia) Berhad,7,1,1,1,Willy Neo,Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,CIMB Bank Berhad,7,1,1,1,Charles Samuel (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,CIMB Islamic Bank Berhad,7,1,1,1,Charles Samuel (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,HSBC Bank Malaysia Berhad,7,1,1,1,Not publicly disclosed on HSBC Malaysia website (b,Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Hong Leong Bank Berhad,7,1,1,1,Dr. Simon Hoh (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Hong Leong Islamic Bank Berhad,7,1,1,1,Dr. Simon Hoh (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Maybank Berhad,7,1,1,1,Devinder Singh (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Maybank Islamic Berhad,7,1,1,1,Devinder Singh (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,OCBC Bank (Malaysia) Berhad,7,1,1,1,Dominic Yew,Pre-schedule meeting before CyberDSA,,
