stakeholder_id,name,role,organisation,relationship_status,priority,created_date,last_contact_date,days_since_contact,days_since_creation,staleness,engagement_depth,last_contact_summary,next_action,primary_owner,secondary_owner,engagement_target,next_target_date
STK-20260725-001-cscdc,STK-20260725-001-cscdc,,CSCDC / JPM-MKN-NACSA,new,critical,2026-07-25,,N/A,24,never-engaged,no-contact,,,,,,
STK-20260725-007,STK-20260725-007,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260725-008,STK-20260725-008,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260725-009,STK-20260725-009,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260725-010,STK-20260725-010,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260725-011,STK-20260725-011,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260725-012,STK-20260725-012,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260803-008,STK-20260803-008,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260813-001,STK-20260813-001,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260815-002,STK-20260815-002,RECLASSIFIED,RECLASSIFIED,dormant,high,2026-07-25,,N/A,24,never-engaged,dormant,[redirect to ORG record],[redirect to ORG record],,,,
STK-20260803-007,STK-20260803-007,Blockchain Lead Architect — effectively COO within,Aras Integrasi Sdn Bhd,active,high,2026-08-03,,N/A,15,never-engaged,assigned-active,,,,,,
STK-20260803-009,STK-20260803-009,Professor — Head of Centre for Media and Informati,Universiti Teknologi MARA (UiTM),active,high,2026-08-03,,N/A,15,never-engaged,assigned-active,,,,,,
