KOD DM,DAERAH MENGUNDI,PEMILIH BERDAFTAR,MELAYU,MALAY_PCT,CINA,CHINESE_PCT,INDIA,INDIAN_PCT,18-20 TAHUN,21-30 TAHUN,YOUTH_PCT,LELAKI,PEREMPUAN,TIER,PRIORITY
158/41/01,FELDA ULU TEBRAU,5618,5297,94.3,27,0.5,213,3.8,298,1259,27.7,2856,2762,T3_OPPOSITION,P4_WRITEOFF
158/41/02,MAJU JAYA,5229,4353,83.2,311,5.9,299,5.7,456,1472,36.9,2689,2540,T3_OPPOSITION,P4_WRITEOFF
158/41/03,NIPAH DELIMA,2440,1050,43.0,1070,43.9,250,10.2,95,474,23.3,1245,1195,T2_BATTLEGROUND,P4_LOW
158/41/04,PUTERI WANGSA 1,10553,2514,23.8,5747,54.5,1991,18.9,990,3394,41.5,5412,5141,T2_BATTLEGROUND,P2_HIGH
158/41/05,MOUNT AUSTIN,14058,2778,19.8,9803,69.7,1229,8.7,1700,4244,42.3,7086,6972,T1_PH_STRONGHOLD,P1_CRITICAL
158/41/06,BERTAM DELIMA,2620,796,30.4,1454,55.5,290,11.1,95,458,21.1,1334,1286,T2_BATTLEGROUND,P4_LOW
158/41/07,PEKAN PANDAN,3463,896,25.9,2178,62.9,245,7.1,99,364,13.4,1726,1737,T1_PH_STRONGHOLD,P3_MEDIUM
158/41/08,KANGKAR TEBRAU BARU,1819,1066,58.6,458,25.2,231,12.7,102,254,19.6,921,898,T2_BATTLEGROUND,P4_LOW
158/41/09,KANGKAR TEBRAU,1657,1279,77.2,124,7.5,171,10.3,52,232,17.1,842,815,T3_OPPOSITION,P4_WRITEOFF
158/41/10,LADANG TEBRAU,7925,5080,64.1,2023,25.5,530,6.7,968,2748,46.9,3959,3966,T3_OPPOSITION,P3_MEDIUM
158/41/11,TAMAN GEMBIRA,2190,1490,68.0,340,15.5,90,4.1,113,369,22.0,1130,1060,T3_OPPOSITION,P4_WRITEOFF
158/41/12,BUKIT JAYA,6050,1380,22.8,2888,47.7,1634,27.0,427,1467,31.3,3028,3022,T2_BATTLEGROUND,P3_MEDIUM
158/41/13,RUMBIA DAYA,5444,1773,32.6,3035,55.7,521,9.6,250,1143,25.6,2655,2789,T2_BATTLEGROUND,P3_MEDIUM
158/41/14,NIBONG DAYA,5016,1949,38.9,2536,50.6,413,8.2,378,1449,36.4,2476,2540,T2_BATTLEGROUND,P3_MEDIUM
158/41/15,PUTERI WANGSA 2,4996,1274,25.5,2550,51.0,1068,21.4,280,1302,31.7,2526,2470,T2_BATTLEGROUND,P4_LOW
158/41/16,PELANGI GAYA,10979,1562,14.2,8641,78.7,593,5.4,1076,3813,44.5,5511,5468,T1_PH_STRONGHOLD,P1_CRITICAL
158/41/17,PINANG SAGU,5795,1924,33.2,3210,55.4,445,7.7,399,1407,31.2,2948,2847,T2_BATTLEGROUND,P3_MEDIUM
158/41/18,SETIA ENAU,17282,4372,25.3,11373,65.8,1217,7.0,2154,5325,43.3,8635,8647,T1_PH_STRONGHOLD,P1_CRITICAL
158/41/19,BUKIT MUTIARA,8242,4000,48.5,3046,37.0,1040,12.6,991,2631,43.9,4166,4076,T2_BATTLEGROUND,P2_HIGH
158/41/20,DESA TEBRAU,7347,1336,18.2,5382,73.3,460,6.3,650,2310,40.3,3681,3666,T1_PH_STRONGHOLD,P3_MEDIUM
