,Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
,1,Licensed Banks,AEON Digital Bank (AEON Financial Service),SHARES PARENT: AEON Credit Service (M) Berhad — cybersecurity at parent level,SHARES PARENT: AEON Credit Service (M) Berhad — GRC at parent level,"Lee Siew Tee|Chief Financial Officer, AEON Credit Service (M) Berhad (parent)|75|https://aeoncredit.com.my/about-us/leadership/",SHARES PARENT: AEON Credit Service (M) Berhad — risk at parent level,SHARES PARENT: AEON Credit Service (M) Berhad — compliance at parent level,"SHARES PARENT: AEON Credit Service (M) Berhad — Lee Tyan Jen formerly CIO, now Deputy CEO",SHARES PARENT: AEON Credit Service (M) Berhad — IA via AEON Credit Service IAD (Phang Chee Chong)
,1,Licensed Banks,Affin Bank Berhad,"Teng Wei Lim (Thomas)|Group Chief Information Security Officer (GCISO), Affin Bank Group|95|https://my.linkedin.com/in/thomaslim","GRC distributed across Group CRO (Dang Cheong Min), Group Chief Compliance Officer (Adzamimah Binti Adzmi), and Group Chief Legal Officer (Nimma Safira binti Dato Khalid, holds Professional Postgraduate Diploma in Governance Risk and Compliance from ICA UK); no separate Head of GRC role identified in CG Report 2025",Joanne May Rodrigues (Group Chief Financial Officer) — affin.listedcompany.com/misc/cg_report_2025.pdf,Dang Cheong Min (Group Chief Risk Officer) — affin.listedcompany.com/misc/cg_report_2025.pdf,Adzamimah Binti Adzmi (Group Chief Compliance Officer) — affin.listedcompany.com/misc/cg_report_2025.pdf,"Wafa Nokman|Director, Information Technology, Affin Bank Berhad (previously Head of Group Technology Service Management & Operations)|65|https://intch.org/13581154",Wahdania Binti Mohd Khir (Group Chief Internal Auditor) — affin.listedcompany.com/misc/cg_report_2025.pdf
,1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],Jacob Abraham (Group CRO + Compliance oversight) [Official: alliancebank.com.my],Ronnie Royston Fernandiz (Group Chief Financial Officer) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also oversees Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
,1,Licensed Banks,Alliance Islamic Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
,1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor)
,1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank]
,1,Licensed Banks,BNP Paribas Malaysia Berhad,"SHARES PARENT: BNP Paribas Group manages information security at APAC regional level; no dedicated Malaysia-level CISO found in annual reports, corporate website (bnpparibas.com.my redirects to APAC site), or LinkedIn","CEO: Anthony Lo Chiang Loong (Executive Director, CEO & Head of Territory, appointed 1 Oct 2024) [Official: BNP Paribas CG Statement FY2024, conf 95]; Chairman: Dato' Mohamed Khadar bin Merican (Ind. Non-Exec Director, Chairman, appointed 1 Mar 2021) [conf 95]","Kevin Wong (CFO) [LinkedIn/ZoomInfo, conf 65]","Khoo Lian Kim (BRMC Chairman, former CRO RHB Banking Group) [CG Statement FY2024, conf 85]","Chan Mui Pin / Mrs. Lau Mui Pin (Exec Director, former Head of Compliance BNP Paribas Singapore & SEA) [CG Statement FY2024, conf 80]","SHARES PARENT: BNP Paribas Group manages IT/CIO function at APAC regional level; no Malaysia-specific CIO identified in annual reports, corporate website, or LinkedIn","Faisal bin Ismail (Audit Committee Chairman, Ind. Non-Exec Director) [CG Statement FY2024, conf 85]"
,1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group Chief Information Security Officer) [Official: bankislam.com],Nik Azmir Nik Anis (Group Chief Compliance Officer and Group Chief Integrity and Governance Officer) [Official: bankislam.com],Siti Nur Huda Sufian (Group Chief Financial Officer) [Official: bankislam.com],Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group Chief Compliance Officer) [Official: bankislam.com],Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor) [Official: bankislam.com]
,1,Licensed Banks,Bank Muamalat Malaysia Berhad,"Ts. Dr. Ismamuradi Abdul Kadir (CISO, CCISO) [LinkedIn: my.linkedin.com/in/ts-dr-ismamuradi-abdul-kadir-a99099a1; TheOfficialBoard; Cyber Security Professional of The Year 2023; Best CISO of The Year 2025 (5th Annual Cyber Security & Threat Intelligence Summit), conf 90]","Nasha Phedra binti Amin (Head, Legal & Secretarial) [Official: muamalat.com.my]",Amirul Nasir Abdul Rahim (Chief Financial Officer) [Official: muamalat.com.my],Hamidi A Razak (Chief Risk Officer) [Official: muamalat.com.my],Wan Kamarudin Wan Omar (Chief Compliance Officer) [Official: muamalat.com.my],Ts. Megat Mohammad Faisal Khir Johari (Chief Technology Officer) [Official: muamalat.com.my],Faidzuel Bin Zain (Chief Internal Auditor) [Official: muamalat.com.my]
,1,Licensed Banks,Bank of America Malaysia Berhad,"SHARES PARENT: Bank of America manages information security at global/APAC level; BAMB Pillar III report references technology risk KPIs but no local CISO named in annual report, CG disclosures, or Pillar III report",SHARES PARENT: Bank of America manages GRC via BAC Management Risk Committee (MRC) and BANA APAC Regional Risk Committee; CG Disclosures confirm BAC remuneration policies applied across enterprise including BAMB,"Nursuzanna binti Nordin (Officer primarily responsible for the financial management of Bank of America Malaysia Berhad) [Official: BAMB FY2025 Annual Report (108pp PDF: business.bofa.com BAMB-FY2025-Final-Publishing.pdf), conf 85]. Previous: Wong Poh Leng [FY2024 Financial Statement].",SHARES PARENT: BAMB Pillar III report confirms BAMB CRO/Country Risk Officer position exists locally but holder NOT named in any public document; risk managed via BAC global framework,SHARES PARENT: BAMB Pillar III report confirms Country Compliance Officer (CCO) position exists locally but holder NOT named in any public document; compliance managed via BAC enterprise framework,"SHARES PARENT: Bank of America manages IT at global/APAC level; no local BAMB CIO named in annual report, CG disclosures, or Pillar III report",SHARES PARENT: BAMB Pillar III report confirms Corporate Audit function exists locally (reports to BAMB Audit Committee) but holder NOT named; part of BAC three lines of defense framework
,1,Licensed Banks,Bank of China (Malaysia) Berhad,Willy Neo,Anysia Yeung (CRO) + Ker Yong (Compliance) [Group-level composite],Datuk Alvin Tay (DCEO/acting CFO),Anysia Yeung,Ker Yong (Director - Head of Legal and Compliance),"K.W.C. (Senior VP, Head of IT) [LeadIQ, MEDIUM-65]",Chen Thien Yin (Board Audit Committee Chair)
,1,Licensed Banks,CIMB Bank Berhad,Charles Samuel (Group CISO),Kwan Keen Yew (Group Chief Integrity & Governance Officer),Khairul Rifaie (Group Chief Financial & Strategy Officer),Vera Handajani (Group CRO),Kwan Keen Yew (Group Chief Legal & Compliance Officer),Ros Aziah Mohd Yusoff (Group CTO),Amran Mohamad (Group Chief Internal Auditor)
,1,Licensed Banks,CIMB Islamic Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Group-level: CIMB Bank],Khairul Rifaie (Group Chief Financial & Strategy Officer) [Group-level: CIMB Bank],Vera Handajani (Group CRO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Group-level: CIMB Bank],Ros Aziah Mohd Yusoff (Group CTO) [group-level: CIMB Bank],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB Bank]
,1,Licensed Banks,Citibank Berhad,"SHARES PARENT: Citigroup manages technology and security functions at global level (Tim Ryan, Head of Technology and Business Enablement); Citi Malaysia page only lists Vikram Singh as Citi Country Officer; no Malaysia-specific CISO identified","CEO: Vikram Singh (CEO Citi Malaysia, effective 1 May 2023) [Official: 2024 Citibank Berhad Annual Report - citigroup.com]; Chairman: Mark Fordyce Hart (INED, 41-year Citi career, former CFO of Citi Asia Pacific); Board: Abhijit Dattanand Kumta (O&T Exec Dir, former O&T Head Citibank Berhad 2011-2013), Philip Tan Puay Koon (INED, former CFO), Norazilla binti Md Tahir (INED, Audit Committee Chair)",Tan Alyse (Chief Financial Officer/Controller) [LinkedIn: my.linkedin.com/in/tan-alyse-2658791a0],Mark Fordyce Hart (Chairman Risk Mgmt Cmte) [Official: citigroup.com board PDF conf 80],"SHARES PARENT: Citigroup manages compliance oversight at regional/global level (Zdenek Turek, global CRO); BNM regulations require local compliance officer but individual not publicly named on Citi website or in publicly available disclosures","Abhijit Dattanand Kumta (Executive Director; MD Singapore O&T, Citi Solution Center Head ASEAN) [Official: citigroup.com board PDF, conf 85]",Puan Norazilla binti Md Tahir (Audit Cmte Chair former CFO Cagamas) [Official: citigroup.com board PDF conf 85]
,1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,"Jeng Yean Won (CISO Malaysia, Thailand & Vietnam) [LinkedIn: my.linkedin.com/in/jengyeanwon, conf 65]","SHARES PARENT: Deutsche Bank manages GRC function at global/regional level; no Malaysia-specific Head of GRC identified in financial statements, Pillar 3 disclosures, or corporate governance documents","Liew Yeh Yin (Officer primarily responsible for the financial management of Deutsche Bank (Malaysia) Berhad) [Official: Deutsche Bank Malaysia FY2025 Audited Financial Statements Statutory Declaration (page 50): ""I, Liew Yeh Yin, being the Officer primarily responsible for the financial management of Deutsche Bank (Malaysia) Berhad""; also confirmed FY2024 FS page 48; deutschehelix.db.com/malaysia, conf 95]","Surabhi Agarwal (Chief Risk Officer) [LinkedIn, conf 65]",Nuruladha Talib|Head of Compliance (unconfirmed — LinkedIn posts suggest compliance/AFC role at Deutsche Bank Malaysia with CeIO certification from MACC)|30|https://www.linkedin.com/posts/nuruladha-talib-1895a955_integrity-compliance-governance-activity-7454409292884922368-jDwi,"SHARES PARENT: Deutsche Bank manages IT/CIO function at global/regional level; no Malaysia-specific CIO identified in financial statements, Pillar 3 disclosures, or corporate governance documents",Siti Noor Aminah Kamaruddin|Head of Internal Audit (unconfirmed — LinkedIn confirms Deutsche Bank Malaysia employee with CIA credential)|35|https://www.linkedin.com/posts/siti-noor-aminah-kamaruddin_charteredbanker-acb-professionalgrowth-activity-7461605197400793088-kYKY
,1,Licensed Banks,HSBC Bank Malaysia Berhad,"SHARES PARENT: HSBC Group manages CISO and IT security functions at Asia-Pacific regional level via HBAP (The Hongkong and Shanghai Banking Corporation Limited); Wendy Wang (Yuhong Wang Shen), CIO Asia and Middle East of HBAP, sits on HSBC Malaysia board; 2025 Annual Report (186 pages) does not list a Malaysia-specific CISO","Brian McGuire (Chief Risk & Compliance Officer) [TheOfficialBoard]; CEO: Dato Omar Siddiq (CEO and Head of Banking) [Official: hsbc.com.my, conf 95]",Elly Neoh (CFO),Brian McGuire (Chief Risk & Compliance Officer) [TheOfficialBoard],Brian McGuire (Chief Compliance Officer) [TheOfficialBoard],Mei Ling Soo (CIO),"Sherlyn Cheah (Country Head of Audit Malaysia) [LinkedIn: my.linkedin.com/in/sherlyn-cheah-a8215a13a + TheOfficialBoard: theofficialboard.com/biography/sherlyn-cheah-25d91, conf 85]"
,1,Licensed Banks,Hong Leong Bank Berhad,"Dr. Simon Hoh (CISO) [TheOrg: theorg.com/org/hong-leong-bank/org-chart/dr-simon-hoh, conf 65]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [The Org - unverified],Justin Soong (Group CRO) [RocketReach],Jack Babani (CCO) [The Org - unverified],William Streitberg (Chief Info & Tech Officer) [The Org],Chua Yew Lim (Chief Internal Auditor) [Official CG Report]
,1,Licensed Banks,Hong Leong Islamic Bank Berhad,"Dr. Simon Hoh (CISO) [Group-level: Hong Leong Bank, TheOrg, conf 60]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank]
,1,Licensed Banks,ICBC (Malaysia) Berhad,"SHARES PARENT: ICBC manages cybersecurity/information security at global/regional level; CISO not listed as local Senior Management position in Board Charter (which defines Senior Mgmt as MD/CEO, Deputy CEO, CCO, CRO, CIA) or financial statements","SHARES PARENT: GRC function split between local Chief Compliance Officer (Liau Cheek, conf 55) and Chief Risk Officer (unnamed); no separate Head of GRC position exists per Board Charter","Geng Hao (MD/CEO, also Director primarily responsible for financial management per AR 2024 Statutory Declaration) [Official: ICBC Malaysia AR 2024, conf 95]","SHARES PARENT: ICBC Malaysia has confirmed CRO position (7 Senior Management headcounts per 2024/2025 financial statements) but name not publicly disclosed; 2024 financial statements mention ""Deputy CEO in charge of Risk Management Department"" who may serve as CRO|0|https://v.icbc.com.cn/userfiles/resources/icbc/haiwai/malaysia/download/2025/icbcgp8fye31dec2024.pdf","Liau Cheek [RocketReach, conf 55 — could not verify with official source. ICBC MY website and Pillar 3 PDF (31 Dec 2025) do not mention any compliance officer by name. Downgraded from conf 65.]",SHARES PARENT: ICBC manages IT/information systems at global/regional level; CIO not listed as local Senior Management position in Board Charter or financial statements; ICBC has centralized global IT infrastructure,"SHARES PARENT: ICBC Malaysia has confirmed Chief Internal Auditor position per Board Charter and financial statements; listed as ""Chief Internal Auditor / Head of Internal Audit"" in Whistleblowing Policy; name not publicly disclosed|0|https://v.icbc.com.cn/userfiles/Resources/ICBC/haiwai/Malaysia/download/2023/whistleblowing3rdparties_v3.pdf"
